'000089,2007,深圳市机场股份有限公司,data/2007年报表/000089-07.PDF,1,0,0,0,0
'000090,2007,,data/2007年报表/000090-07.PDF,0,0,0,0,0
'000096,2007,深圳市广聚能源股份有限公司,data/2007年报表/000096-07.PDF,1,0,0,0,0
'000099,2007,证券简称：中信海直证券代码：,data/2007年报表/000099-07.PDF,1,0,0,0,0
'000100,2007,TCL集团股份有限公司TCLCORPORATION,data/2007年报表/000100-07.PDF,0,0,0,0,0
'000150,2007,宜华地产股份有限公司,data/2007年报表/000150-07.PDF,1,0,0,0,0
'000151,2007,,data/2007年报表/000151-07.PDF,0,0,0,0,0
'000153,2007,,data/2007年报表/000153-07.PDF,0,0,0,0,0
'000156,2007,湖南嘉瑞新材料集团股份有限公司,data/2007年报表/000156-07.PDF,1,0,0,0,0
'000157,2007,长沙中联重工科技发展股份有限公司,data/2007年报表/000157-07.PDF,0,0,0,0,0
'000158,2007,(cid:,data/2007年报表/000158-07.PDF,0,0,0,0,0
'000159,2007,,data/2007年报表/000159-07.PDF,0,0,0,0,0
'000301,2007,,data/2007年报表/000301-07.PDF,0,0,0,0,0
'000338,2007,潍柴动力股份有限公司,data/2007年报表/000338-07.PDF,1,0,0,0,0
'000400,2007,,data/2007年报表/000400-07.PDF,0,0,0,0,0
'000401,2007,唐山冀东水泥股份有限公司,data/2007年报表/000401-07.PDF,1,0,0,0,0
'000402,2007,金融街控股股份有限公司,data/2007年报表/000402-07.PDF,1,0,0,0,0
'000403,2007,三三九九宜宜工工生生化化股股份份有有限限公公司司,data/2007年报表/000403-07.PDF,0,0,0,0,0
'000404,2007,华意压缩机股份有限公司,data/2007年报表/000404-07.PDF,0,0,0,0,0
'000407,2007,SHANDONGSHENGLICO.LTD.,data/2007年报表/000407-07.PDF,0,0,0,0,0
'000408,2007,玉源控股股份有限公司,data/2007年报表/000408-07.PDF,1,0,1,0,0
'000409,2007,泰格生物技术股份有限公司,data/2007年报表/000409-07.PDF,0,0,0,0,0
'000410,2007,沈阳机床股份有限公司,data/2007年报表/000410-07.PDF,1,0,0,0,0
'000411,2007,(cid:,data/2007年报表/000411-07.PDF,0,0,0,0,0
'000413,2007,石家庄宝石电子玻璃股份有限公司SHIJIAZHUANGBAOSHIELECTRONICGLASSCOMPANYLIMITED,data/2007年报表/000413-07.PDF,1,0,0,0,0
'000415,2007,,data/2007年报表/000415-07.PDF,0,0,0,0,0
'000416,2007,青岛华馨实业股份有限公司,data/2007年报表/000416-07.PDF,1,0,0,0,0
'000417,2007,(cid:,data/2007年报表/000417-07.PDF,0,0,0,0,0
'000418,2007,无锡小天鹅股份有限公司,data/2007年报表/000418-07.PDF,1,0,0,0,0
'000419,2007,长沙通程控股股份有限公司二OO七年年度报告二,data/2007年报表/000419-07.PDF,1,0,0,0,0
'000420,2007,,data/2007年报表/000420-07.PDF,0,0,0,0,0
'000421,2007,南京中北(集团)股份有限公司,data/2007年报表/000421-07.PDF,0,0,0,0,0
'000422,2007,湖北宜化化工股份有限公司,data/2007年报表/000422-07.PDF,1,0,0,0,0
'000423,2007,ANNUALREPORTSHANDONGDONG-EE-JIAOCO.,LTD,data/2007年报表/000423-07.PDF,0,0,0,0,0
'000425,2007,徐州工程机械科技股份有限公司,data/2007年报表/000425-07.PDF,0,0,0,0,0
'000426,2007,,data/2007年报表/000426-07.PDF,0,0,0,0,0
'000428,2007,湖南华天大酒店股份有限公司二○○七年年度报告二○○八年三月,data/2007年报表/000428-07.PDF,1,0,0,0,0
'000429,2007,,data/2007年报表/000429-07.PDF,0,0,0,0,0
'000430,2007,张家界旅游开发股份有限公司,data/2007年报表/000430-07.PDF,1,0,0,0,0
'000488,2007,,data/2007年报表/000488-07.PDF,1,0,0,0,0
'000498,2007,,data/2007年报表/000498-07.PDF,1,0,0,0,0
'000501,2007,,data/2007年报表/000501-07.PDF,0,0,0,0,0
'000502,2007,,data/2007年报表/000502-07.PDF,1,0,0,0,0
'000503,2007,,data/2007年报表/000503-07.PDF,0,0,0,0,0
'000504,2007,,data/2007年报表/000504-07.PDF,1,0,0,0,0
'000505,2007,,data/2007年报表/000505-07.PDF,0,0,0,0,0
'000506,2007,山东惠邦地产股份有限公司,data/2007年报表/000506-07.PDF,1,0,0,0,0
'000507,2007,珠海经济特区富华集团股份有限公司FUHUAGROUPCO.LTD.ZHUHAIS.E.Z.,data/2007年报表/000507-07.PDF,0,0,0,0,0
'000509,2007,同人华塑股份有限公司,data/2007年报表/000509-07.PDF,0,0,0,0,0
'000510,2007,,data/2007年报表/000510-07.PDF,0,0,0,0,0
'000511,2007,(cid:,data/2007年报表/000511-07.PDF,0,0,0,0,0
'000513,2007,丽珠医药集团股份有限公司,data/2007年报表/000513-07.PDF,1,0,0,0,0
'000514,2007,证券代码：,data/2007年报表/000514-07.PDF,0,0,0,0,0
'000515,2007,攀钢集团重庆钛业股份有限公司,data/2007年报表/000515-07.PDF,1,0,1,0,0
'000516,2007,西安开元控股集团股份有限公司,data/2007年报表/000516-07.PDF,1,1,0,0,0
'000517,2007,甬成功,data/2007年报表/000517-07.PDF,0,0,0,0,0
'000518,2007,,data/2007年报表/000518-07.PDF,0,0,0,0,0
'000519,2007,,data/2007年报表/000519-07.PDF,0,0,0,0,0
'000520,2007,长航凤凰股份有限公司,data/2007年报表/000520-07.PDF,0,0,0,0,0
'000521,2007,合肥美菱股份有限公司,data/2007年报表/000521-07.PDF,0,0,0,0,0
'000522,2007,,data/2007年报表/000522-07.PDF,1,0,0,0,0
'000523,2007,,data/2007年报表/000523-07.PDF,0,0,0,0,0
'000524,2007,广广州州市市东东方方宾宾馆馆股股份份有有限限公公司司GGUUAANNGGZZHHOOUUDDOONNGGFFAANNGGHHOOTTEELLCCOO..,,LLTTDD..,data/2007年报表/000524-07.PDF,1,0,0,0,0
